시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201904,5,22000,10,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,72.5242,201907,16,20500,4,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,262-1,262,1,유나베네스1차,62.2475,201907,16,18500,4,2017,화전산업대로 272-9
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,71.3035,201902,12,22000,5,2017,화전산업대로 272-11
부산광역시 강서구 녹산동,287,287,0,유나베네스2차,71.3035,201912,2,22500,5,2017,화전산업대로 272-11
부산광역시 강서구 대저1동,2388-17,2388,17,외진가 센트럴타워,44.0091,201907,24,14489,4,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,17,외진가 센트럴타워,61.5977,201908,5,26610,17,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,17,외진가 센트럴타워,86.9389,201908,5,39200,20,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,17,외진가 센트럴타워,40.9155,201908,12,17000,13,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,17,외진가 센트럴타워,86.9389,201908,12,16850,20,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,17,외진가 센트럴타워,71.2777,201908,29,30570,17,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,17,외진가 센트럴타워,61.7036,201908,30,23891,16,2019,대저로273번길 25
부산광역시 강서구 대저1동,2388-17,2388,17,외진가 센트럴타워,40.9155,201911,19,17520,16,2019,대저로273번길 25
부산광역시 강서구 대저1동,7375,7375,0,우창더뷰,54.3472,201905,20,21000,4,2019,대저중앙로 9
부산광역시 강서구 대저1동,7375,7375,0,우창더뷰,54.3472,201907,16,20500,5,2019,대저중앙로 9
부산광역시 강서구 대저1동,7375,7375,0,우창더뷰,74.6266,201910,18,35000,11,2019,대저중앙로 9
부산광역시 강서구 대저1동,7375,7375,0,우창더뷰,54.3472,201911,27,19300,2,2019,대저중앙로 9
부산광역시 강서구 대저1동,Feb-38,2338,2,태원더블루원,60.7289,201902,21,22700,4,2017,대저로 286
부산광역시 강서구 대저1동,Feb-38,2338,2,태원더블루원,61.5358,201903,11,23900,12,2017,대저로 286
부산광역시 강서구 대저1동,Feb-38,2338,2,태원더블루원,51.3644,201907,31,20500,14,2017,대저로 286
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,87.983,201903,26,32552,4,2019,명지국제2로 80
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,87.985,201905,8,37814,24,2019,명지국제2로 80
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,98.967,201905,9,40755,6,2019,명지국제2로 80
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,87.852,201905,23,32048,8,2019,명지국제2로 80
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,87.983,201905,25,35839,19,2019,명지국제2로 80
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,98.967,201906,15,42043,18,2019,명지국제2로 80
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,98.973,201906,21,45194,14,2019,명지국제2로 80
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,87.983,201906,22,37814,25,2019,명지국제2로 80
부산광역시 강서구 명지동,Jan-99,3599,1,e편한세상명지,87.852,201907,14,36000,22,2019,명지국제2로 80
