시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201902,9,6200,4,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201904,25,6200,5,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201906,13,6000,2,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201907,11,7000,3,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201908,16,6900,5,1978,대전로 1247
대전광역시 대덕구 대화동,07월 27일,27,7,금강,56.26,201910,1,6400,1,1978,대전로 1247
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,70.425,201901,2,8200,1,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,62.085,201901,12,6600,5,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,72.675,201901,24,8700,3,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,47.85,201901,29,4450,5,1985,대화로 19
대전광역시 대덕구 대화동,02월 16일,16,2,금성백조,71.96,201903,11,6000,5,1985,대화로 19
대전광역시 대덕구 대화동,40-67,40,67,대화,49,201901,25,3500,5,1979,대화로 53
대전광역시 대덕구 대화동,40-67,40,67,대화,49,201907,24,4800,2,1979,대화로 53
대전광역시 대덕구 대화동,40-67,40,67,대화,49,201910,9,2400,3,1979,대화로 53
대전광역시 대덕구 대화동,40-67,40,67,대화,49,201912,23,3200,3,1979,대화로 53
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201901,20,7250,13,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201901,30,6300,5,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201902,13,6860,2,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,46.1031,201903,25,10500,13,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201905,14,7600,9,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201906,7,7600,4,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,46.1031,201906,8,9500,7,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,35.8818,201909,3,6800,10,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201910,17,6300,5,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201910,23,6000,5,2001,대화1길 77
대전광역시 대덕구 대화동,31-36,31,36,두레,32.3658,201911,29,6800,1,2001,대화1길 77
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,54.18,201903,14,6800,5,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201903,26,9500,4,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201905,29,10400,2,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.82,201907,15,11400,2,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.43,201907,17,9000,5,1987,대화10길 72
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.82,201907,27,8250,4,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201908,14,9000,3,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201910,3,9700,4,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201910,3,9500,2,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,68.85,201910,9,8500,4,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.82,201910,30,11550,3,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.43,201911,16,7700,4,1987,대화10길 72
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,71.82,201911,19,8200,4,1987,대화11길 11
대전광역시 대덕구 대화동,05월 16일,16,5,세원풍남,73.515,201911,30,8800,4,1987,대화11길 11
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201901,10,5500,3,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201901,17,7200,3,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201901,28,5500,5,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201903,21,7100,4,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201904,3,6300,1,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201905,12,5250,5,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201906,8,6600,2,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201910,12,6000,4,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201910,22,8300,3,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201911,7,7000,2,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201912,3,7300,2,1990,동심1길 103
대전광역시 대덕구 대화동,01월 30일,30,1,소라,60.855,201912,24,6000,4,1990,동심1길 103
대전광역시 대덕구 대화동,16-163,16,163,신대화,56.24,201905,31,5700,1,1983,대전로 1255
대전광역시 대덕구 대화동,16-163,16,163,신대화,56.24,201911,2,4700,1,1983,대전로 1255
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201901,3,5500,5,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201909,4,7400,2,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201910,9,7300,3,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201912,20,7900,1,1986,생산5길 22
대전광역시 대덕구 대화동,253,253,0,오광무지개,63.81,201912,21,7500,4,1986,생산5길 22
대전광역시 대덕구 대화동,229-12,229,12,장미,63.36,201910,3,8000,2,1986,동심5길 16
