날짜,매매기준율,전일대비,현찰살때,현찰팔때,송금보낼때,송금받을때,T/C살때,외화수표팔때
2017.01.02,1210.0,5.0,1231.17,1188.83,1221.8,1198.2,1224.52,1197.32
2017.01.03,1207.0,3.0,1228.12,1185.88,1218.8,1195.2,1221.48,1194.33
2017.01.04,1203.0,4.0,1224.05,1181.95,1214.7,1191.3,1217.43,1190.43
2017.01.05,1190.0,13.0,1210.82,1169.18,1201.6,1178.4,1204.28,1177.54
2017.01.06,1196.5,6.5,1217.43,1175.57,1208.2,1184.8,1210.85,1183.94
2017.01.09,1204.5,8.0,1225.57,1183.43,1216.3,1192.7,1218.95,1191.83
2017.01.10,1200.5,4.0,1221.5,1179.5,1212.2,1188.8,1214.9,1187.93
2017.01.11,1199.0,1.5,1219.98,1178.02,1210.7,1187.3,1213.38,1186.43
2017.01.12,1179.5,19.5,1200.14,1158.86,1191.0,1168.0,1193.65,1167.15
2017.01.13,1175.5,4.0,1196.07,1154.93,1187.0,1164.0,1189.6,1163.15
2017.01.16,1184.0,8.5,1204.72,1163.28,1195.6,1172.4,1198.2,1171.54
2017.01.17,1170.0,14.0,1190.47,1149.53,1181.4,1158.6,1184.04,1157.75
2017.01.18,1171.5,1.5,1192.0,1151.0,1182.9,1160.1,1185.55,1159.25
2017.01.19,1178.0,6.5,1198.61,1157.39,1189.5,1166.5,1192.13,1165.65
2017.01.20,1176.0,2.0,1196.58,1155.42,1187.5,1164.5,1190.11,1163.65
2017.01.23,1169.0,7.0,1189.45,1148.55,1180.4,1157.6,1183.02,1156.75
2017.01.24,1166.5,2.5,1186.91,1146.09,1177.9,1155.1,1180.49,1154.26
2017.01.25,1166.0,0.5,1186.4,1145.6,1177.4,1154.6,1179.99,1153.76
2017.01.26,1167.0,1.0,1187.42,1146.58,1178.4,1155.6,1181.0,1154.75
2017.01.31,1162.0,5.0,1182.33,1141.67,1173.3,1150.7,1175.94,1149.86
2017.02.01,1158.0,4.0,1178.26,1137.74,1169.3,1146.7,1171.89,1145.86
2017.02.02,1143.5,14.5,1163.51,1123.49,1154.7,1132.3,1157.22,1131.47
2017.02.03,1148.0,4.5,1168.09,1127.91,1159.2,1136.8,1161.77,1135.97
2017.02.06,1138.0,10.0,1157.91,1118.09,1149.1,1126.9,1151.65,1126.08
2017.02.07,1148.0,10.0,1168.09,1127.91,1159.2,1136.8,1161.77,1135.97
2017.02.08,1146.0,2.0,1166.05,1125.95,1157.2,1134.8,1159.75,1133.97
2017.02.09,1144.0,2.0,1164.02,1123.98,1155.2,1132.8,1157.72,1131.97
2017.02.10,1150.0,6.0,1170.12,1129.88,1161.2,1138.8,1163.8,1137.97
2017.02.13,1150.5,0.5,1170.63,1130.37,1161.7,1139.3,1164.3,1138.47
2017.02.14,1138.0,12.5,1157.91,1118.09,1149.1,1126.9,1151.65,1126.08
2017.02.15,1141.0,3.0,1160.96,1121.04,1152.1,1129.9,1154.69,1129.07
2017.02.16,1141.0,0.0,1160.96,1121.04,1152.1,1129.9,1154.69,1129.07
2017.02.17,1150.0,9.0,1170.12,1129.88,1161.2,1138.8,1163.8,1137.96
2017.02.20,1147.5,2.5,1167.58,1127.42,1158.7,1136.3,1161.27,1135.47
2017.02.21,1147.0,0.5,1167.07,1126.93,1158.2,1135.8,1160.76,1134.97
2017.02.22,1144.5,2.5,1164.52,1124.48,1155.7,1133.3,1158.23,1132.47
2017.02.23,1136.5,8.0,1156.38,1116.62,1147.6,1125.4,1150.13,1124.58
2017.02.24,1131.0,5.5,1150.79,1111.21,1142.0,1120.0,1144.57,1119.18
2017.02.27,1134.5,3.5,1154.35,1114.65,1145.6,1123.4,1148.11,1122.58
2017.02.28,1130.0,4.5,1149.77,1110.23,1141.0,1119.0,1143.56,1118.18
2017.03.02,1144.5,14.5,1164.52,1124.48,1155.7,1133.3,1158.23,1132.46
2017.03.03,1157.0,12.5,1177.24,1136.76,1168.3,1145.7,1170.88,1144.84
2017.03.06,1155.0,2.0,1175.21,1134.79,1166.3,1143.7,1168.86,1142.84
2017.03.07,1149.5,5.5,1169.61,1129.39,1160.7,1138.3,1163.29,1137.44
2017.03.08,1152.5,3.0,1172.66,1132.34,1163.7,1141.3,1166.33,1140.44
2017.03.09,1160.0,7.5,1180.3,1139.7,1171.3,1148.7,1173.92,1147.83
2017.03.10,1155.5,4.5,1175.72,1135.28,1166.8,1144.2,1169.36,1143.33
2017.03.13,1147.5,8.0,1167.58,1127.42,1158.7,1136.3,1161.27,1135.43
2017.03.14,1150.5,3.0,1170.63,1130.37,1161.7,1139.3,1164.3,1138.42
2017.03.15,1147.0,3.5,1167.07,1126.93,1158.2,1135.8,1160.76,1134.92
2017.03.16,1130.0,17.0,1149.77,1110.23,1141.0,1119.0,1143.56,1118.13
2017.03.17,1131.0,1.0,1150.79,1111.21,1142.0,1120.0,1144.57,1119.12
2017.03.20,1118.0,13.0,1137.56,1098.44,1128.9,1107.1,1131.41,1106.23
2017.03.21,1119.5,1.5,1139.09,1099.91,1130.4,1108.6,1132.93,1107.73
2017.03.22,1121.0,1.5,1140.61,1101.39,1131.9,1110.1,1134.45,1109.22
2017.03.23,1121.5,0.5,1141.12,1101.88,1132.4,1110.6,1134.95,1109.72
2017.03.24,1122.5,1.0,1142.14,1102.86,1133.5,1111.5,1135.97,1110.62
2017.03.27,1108.5,14.0,1127.89,1089.11,1119.3,1097.7,1121.8,1096.83
2017.03.28,1113.5,5.0,1132.98,1094.02,1124.4,1102.6,1126.86,1101.73
2017.03.29,1113.6,0.1,1133.08,1094.12,1124.5,1102.7,1126.96,1101.83
2017.03.30,1118.0,4.4,1137.56,1098.44,1128.9,1107.1,1131.41,1106.23
2017.03.31,1118.5,0.5,1138.07,1098.93,1129.4,1107.6,1131.92,1106.73
2017.04.03,1118.0,0.5,1137.56,1098.44,1128.9,1107.1,1131.41,1106.23
2017.04.04,1124.5,6.5,1144.17,1104.83,1135.5,1113.5,1137.99,1112.62
2017.04.05,1127.5,3.0,1147.23,1107.77,1138.5,1116.5,1141.03,1115.62
2017.04.06,1131.0,3.5,1150.79,1111.21,1142.0,1120.0,1144.57,1119.11
2017.04.07,1136.0,5.0,1155.88,1116.12,1147.1,1124.9,1149.63,1124.01
2017.04.10,1143.0,7.0,1163.0,1123.0,1154.2,1131.8,1156.71,1130.9
2017.04.11,1145.5,2.5,1165.54,1125.46,1156.7,1134.3,1159.24,1133.4
2017.04.12,1140.0,5.5,1159.95,1120.05,1151.1,1128.9,1153.68,1128.01
2017.04.13,1131.5,8.5,1151.3,1111.7,1142.5,1120.5,1145.07,1119.61
