시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
경기도 가평군 청평면 청평리,301-4,301,4,신공간사무주택,전세,41.31,201706,28,"3,000",0,6,1996,경춘로 871
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201702,3,500,45,11,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,32.9,201703,1,"5,500",0,9,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,32.9,201703,23,500,45,6,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,31.76,201703,29,"5,500",0,11,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201705,19,500,45,12,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201706,1,500,45,7,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,35.91,201706,15,"6,500",0,6,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201706,27,500,45,12,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.92,201707,1,"1,000",40,14,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201707,13,500,45,11,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.92,201708,4,500,40,4,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,32.9,201708,7,500,45,7,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,47.43,201708,17,"8,000",0,14,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,35.91,201710,9,"1,000",45,12,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,전세,31.76,201710,10,"5,000",0,9,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,32.9,201710,28,500,45,4,2006,호국로 798
경기도 고양덕양구 성사동,696,696,0,삼성홈타워오피스텔,월세,31.76,201711,7,500,45,12,2006,호국로 798
경기도 고양덕양구 성사동,700-8,700,8,어울림 오피스텔,전세,23.2,201705,1,"4,000",0,11,2010,고양대로 1367
경기도 고양덕양구 성사동,700-8,700,8,어울림 오피스텔,전세,23.2,201705,15,"4,000",0,11,2010,고양대로 1367
경기도 고양덕양구 성사동,700-8,700,8,어울림 오피스텔,전세,23.2,201705,22,"4,000",0,4,2010,고양대로 1367
경기도 고양덕양구 성사동,700-8,700,8,어울림 오피스텔,전세,21.65,201705,24,"4,000",0,6,2010,고양대로 1367
경기도 고양덕양구 성사동,700-8,700,8,어울림 오피스텔,전세,21.65,201706,10,"4,000",0,10,2010,고양대로 1367
경기도 고양덕양구 성사동,700-8,700,8,어울림 오피스텔,월세,23.2,201707,11,500,40,9,2010,고양대로 1367
경기도 고양덕양구 성사동,700-8,700,8,어울림 오피스텔,월세,23.2,201707,21,"1,000",30,4,2010,고양대로 1367
경기도 고양덕양구 성사동,700-8,700,8,어울림 오피스텔,전세,40.08,201709,30,"5,000",0,10,2010,고양대로 1367
경기도 고양덕양구 주교동,610-6,610,6,스카이 팰리스,전세,70.84,201710,21,"20,000",0,12,2017, 
경기도 고양덕양구 주교동,610-6,610,6,스카이 팰리스,월세,70.84,201711,10,"4,000",68,11,2017, 
경기도 고양덕양구 주교동,610-6,610,6,스카이 팰리스,전세,70.84,201712,25,"8,000",0,14,2017, 
경기도 고양덕양구 토당동,375-1,375,1,HNC 스카이빌,전세,60.35,201704,25,"16,000",0,3,null,지도로49번길 7-10
경기도 고양덕양구 토당동,900-9,900,9,도시형 오피스텔,전세,37.43,201702,23,"13,500",0,7,2015, 
경기도 고양덕양구 토당동,900-9,900,9,도시형 오피스텔,전세,50.35,201705,16,"13,000",0,6,2015, 
경기도 고양덕양구 토당동,274-9,274,9,에코하우스,전세,26.77,201706,20,"8,000",0,6,null, 
경기도 고양덕양구 토당동,863-3,863,3,용현하이젠,월세,30.06,201707,5,"4,000",37,3,null,지도로35번길 9
경기도 고양덕양구 토당동,863-3,863,3,용현하이젠,월세,30.06,201707,27,"2,500",50,2,null,지도로35번길 9
